id,outage_duration
3340,0
14067,0
1134,0
27,0
9793,0
12010,0
7213,0
16347,0
8811,0
17705,0
7886,0
2722,0
17659,0
7518,2
7423,0
6174,0
8504,0
15199,2
4403,2
3778,0
13341,0
3271,2
11125,0
11786,0
8572,2
14129,0
18375,0
3711,0
4750,2
9510,2
8354,2
14397,0
8699,0
778,2
12897,0
8932,0
1680,2
13041,0
10300,0
11777,0
4032,0
11110,0
2566,0
17139,2
18313,2
14164,0
3717,2
9487,0
4905,0
6096,0
5272,0
7070,2
6654,0
7190,0
8234,2
6111,2
10404,2
17566,2
9402,1
3057,0
15105,1
17776,1
1716,2
10709,0
7670,0
6398,0
7501,2
10105,2
11382,0
3948,0
13280,0
8852,2
11016,2
14870,0
4676,0
1177,2
3667,2
15917,0
3700,2
7388,2
2298,2
385,2
7657,0
18539,0
14728,2
533,0
5414,0
6127,0
9675,2
12362,0
3395,0
2835,0
15086,0
12537,2
3851,2
2493,0
12463,2
11860,0
12364,0
9497,0
15972,0
12939,2
5557,0
15492,2
5448,0
14353,2
17629,0
9906,0
9462,0
6560,2
6907,0
10747,0
5196,2
4216,2
16140,0
17269,2
17948,2
12147,0
8092,0
4029,2
9031,2
4785,0
13590,2
4237,0
13623,0
18061,2
3406,0
1020,0
1664,0
15167,0
7412,0
1387,0
14406,2
3101,0
8439,0
16844,0
6970,0
2070,0
13825,2
5982,1
2180,1
3533,1
2749,0
2058,0
4167,0
12469,0
7042,0
1681,0
1586,2
15111,0
8296,2
10135,0
15458,0
17988,0
12817,0
3481,0
469,0
17183,0
3262,2
7288,2
10871,2
15970,0
9653,2
634,2
14458,2
2656,0
2743,0
10619,0
8907,0
12671,2
9150,2
13981,0
162,0
12126,2
7108,0
11690,0
11612,2
3047,0
16163,2
13167,2
4583,2
11861,0
3445,0
14194,0
11532,2
13944,1
9170,0
2606,2
3698,0
6095,0
4266,2
13596,1
4817,0
1624,0
7618,0
2500,2
4622,0
3815,2
5457,2
5520,0
16540,0
6847,0
11510,0
2370,0
1399,2
5268,0
2498,0
15400,0
11328,2
9243,0
11446,0
1587,0
13088,2
9786,2
15893,0
11795,2
17430,0
2100,2
16611,0
13154,2
5480,0
6516,0
13128,0
67,2
8367,0
13276,0
2458,2
11806,0
69,0
13261,0
1337,0
12154,0
17653,0
14236,0
221,2
7426,0
7831,2
12765,1
7736,0
13803,0
16895,2
2622,0
6038,0
16427,0
5357,0
9667,0
16942,0
10518,0
18234,0
12293,0
888,0
4877,0
12789,0
421,0
8160,0
6147,2
4751,0
11590,0
8041,0
14522,0
17375,0
295,1
17101,0
1098,0
16407,0
5397,0
2908,0
16799,0
4236,0
6676,2
10246,0
16316,0
1553,0
17724,2
5416,0
11210,0
9969,0
4094,2
4825,0
11138,2
6153,2
11500,2
17781,0
6534,0
12336,2
17671,0
16576,0
9230,0
3662,0
18220,2
14260,0
17888,0
6581,2
