id,outage_duration
3340,0
14067,0
1134,2
27,0
9793,0
12010,0
7213,1
16347,0
8811,0
17705,0
7886,0
2722,1
17659,0
7518,1
7423,1
6174,0
8504,0
15199,0
4403,1
3778,0
13341,0
3271,1
11125,0
11786,0
8572,0
14129,0
18375,0
3711,0
4750,2
9510,0
8354,0
14397,0
8699,0
778,0
12897,0
8932,0
1680,0
13041,0
10300,0
11777,0
4032,1
11110,0
2566,0
17139,0
18313,1
14164,0
3717,2
9487,0
4905,0
6096,0
5272,1
7070,0
6654,0
7190,0
8234,0
6111,1
10404,0
17566,0
9402,0
3057,0
15105,1
17776,1
1716,1
10709,0
7670,0
6398,0
7501,2
10105,0
11382,1
3948,0
13280,0
8852,0
11016,2
14870,0
4676,0
1177,1
3667,2
15917,0
3700,0
7388,1
2298,1
385,0
7657,1
18539,0
14728,0
533,0
5414,0
6127,0
9675,1
12362,0
3395,0
2835,0
15086,1
12537,0
3851,0
2493,0
12463,0
11860,0
12364,0
9497,0
15972,0
12939,0
5557,1
15492,0
5448,0
14353,2
17629,0
9906,0
9462,0
6560,0
6907,0
10747,0
5196,2
4216,2
16140,1
17269,0
17948,2
12147,1
8092,0
4029,0
9031,0
4785,0
13590,1
4237,0
13623,1
18061,0
3406,0
1020,0
1664,0
15167,0
7412,0
1387,0
14406,0
3101,0
8439,0
16844,0
6970,0
2070,0
13825,0
5982,0
2180,1
3533,1
2749,0
2058,0
4167,0
12469,0
7042,0
1681,0
1586,2
15111,0
8296,1
10135,0
15458,0
17988,0
12817,0
3481,1
469,0
17183,0
3262,2
7288,2
10871,2
15970,1
9653,1
634,0
14458,0
2656,0
2743,1
10619,0
8907,0
12671,0
9150,0
13981,0
162,0
12126,0
7108,1
11690,1
11612,1
3047,0
16163,1
13167,2
4583,1
11861,1
3445,0
14194,0
11532,0
13944,0
9170,0
2606,2
3698,1
6095,0
4266,0
13596,0
4817,1
1624,1
7618,0
2500,2
4622,1
3815,2
5457,1
5520,0
16540,0
6847,0
11510,1
2370,0
1399,0
5268,0
2498,0
15400,0
11328,2
9243,0
11446,1
1587,0
13088,0
9786,0
15893,0
11795,1
17430,0
2100,0
16611,0
13154,0
5480,0
6516,0
13128,0
67,0
8367,0
13276,0
2458,2
11806,0
69,1
13261,0
1337,0
12154,0
17653,1
14236,1
221,2
7426,0
7831,0
12765,1
7736,0
13803,1
16895,0
2622,0
6038,0
16427,0
5357,0
9667,0
16942,0
10518,0
18234,0
12293,0
888,1
4877,0
12789,0
421,0
8160,1
6147,0
4751,0
11590,0
8041,0
14522,0
17375,0
295,0
17101,0
1098,0
16407,0
5397,1
2908,0
16799,1
4236,0
6676,0
10246,0
16316,0
1553,0
17724,0
5416,0
11210,0
9969,0
4094,0
4825,1
11138,2
6153,0
11500,0
17781,0
6534,1
12336,0
17671,0
16576,0
9230,0
3662,0
18220,0
14260,0
17888,0
6581,0
